SimulationName	SimulationDate	Date	Day	Month	Year	JulianDay	idZone	zoneName	idCell	x	y	monthYield	monthLai	monthEai	monthBiomass	monthDirectPar	monthDiffusePar	monthDirectParIntercepted	monthDiffuseParIntercepted	monthDirectParIncident	monthDiffuseParIncident	monthRelativeDirectParIncident	monthRelativeDiffuseParIncident	monthRelativeTotalParIncident	monthVisibleSky	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	1	Main-AF	14	6.0000000000000000e+00	1.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.74768e+01	2.80000e+01	2.35387e-01	1.62112e-01	1.91663e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	1	Main-AF	15	0.0000000000000000e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.71642e+01	2.80000e+01	2.32709e-01	1.62112e-01	1.90583e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	1	Main-AF	16	1.0000000000000000e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.73945e+01	2.80000e+01	2.34683e-01	1.62112e-01	1.91378e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	1	Main-AF	17	2.0000000000000000e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.72840e+01	2.80000e+01	2.33735e-01	1.62112e-01	1.90996e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	2	TLV-AF	18	3.0000000000000000e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.73113e+01	2.80000e+01	2.33969e-01	1.62112e-01	1.91091e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	1	Main-AF	19	4.0000000000000000e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.71866e+01	2.80000e+01	2.32901e-01	1.62112e-01	1.90660e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	1	Main-AF	20	5.0000000000000000e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.72844e+01	2.80000e+01	2.33739e-01	1.62112e-01	1.90998e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	1	Main-AF	21	6.0000000000000000e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.71126e+01	2.80000e+01	2.32267e-01	1.62112e-01	1.90404e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/2/2020	28	2	2020	59	1	Main-AF	1	0.0000000000000000e+00	2.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.04732e+02	2.55003e+02	0.00000e+00	0.00000e+00	2.67544e+01	2.80000e+01	8.77966e-02	1.09803e-01	9.78221e-02	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/2/2020	28	2	2020	59	1	Main-AF	2	1.0000000000000000e+00	2.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.04732e+02	2.55003e+02	0.00000e+00	0.00000e+00	2.66063e+01	2.80000e+01	8.73105e-02	1.09803e-01	9.75574e-02	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/2/2020	28	2	2020	59	1	Main-AF	3	2.0000000000000000e+00	2.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.04732e+02	2.55003e+02	0.00000e+00	0.00000e+00	2.69858e+01	2.80000e+01	8.85559e-02	1.09803e-01	9.82354e-02	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/2/2020	28	2	2020	59	2	TLV-AF	4	3.0000000000000000e+00	2.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.04732e+02	2.55003e+02	0.00000e+00	0.00000e+00	2.74467e+01	2.80000e+01	9.00683e-02	1.09803e-01	9.90588e-02	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/2/2020	28	2	2020	59	1	Main-AF	5	4.0000000000000000e+00	2.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.04732e+02	2.55003e+02	0.00000e+00	0.00000e+00	2.74175e+01	2.80000e+01	8.99725e-02	1.09803e-01	9.90067e-02	2.70013e+01	
