SimulationName	SimulationDate	Date	Day	Month	Year	JulianDay	idZone	zoneName	idCell	x	y	cropSpeciesName	yieldMax	heightMax	biomassMax	laiMax	eaiMax	rootsDepthMax	cropMaxTemperature	cropMinTemperature	annualSoilEvaporation	annualCapillaryRise	annualDrainageBottom	annualDrainageArtificial	annualIrrigation	annualRunOff	annualSurfaceRunOff	annualWaterDemand	annualWaterUptakeByTrees	annualWaterUptakeByCrop	annualNitrogenDemand	annualNitrogenUptakeByTrees	annualNitrogenUptakeByCrop	annualNitrogenLeachingBottom	annualNitrogenLeachingWaterTable	annualDirectParIncident	annualDiffuseParIncident	annualDirectParIntercepted	annualDiffuseParIntercepted	
agroforestry	Fri Nov 07 14:59:57 CET 2025	31/12/2000	31	12	2000	366	1	main	11	0.0000000000000000e+00	2.0000000000000000e+00	maize	1.48500e+01	2.42875e+00	2.19865e+01	5.08260e+00	1.48500e+00	1.24104e+00	1.05700e+01	-2.89000e+00	2.79186e+02	0.00000e+00	2.10222e+02	0.00000e+00	3.77000e+02	9.91905e+01	9.91905e+01	4.29911e+02	0.00000e+00	0.00000e+00	3.44940e+02	0.00000e+00	0.00000e+00	1.28526e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
agroforestry	Fri Nov 07 14:59:57 CET 2025	31/12/2000	31	12	2000	366	1	main	12	1.0000000000000000e+00	2.0000000000000000e+00	maize	1.48500e+01	2.43114e+00	2.18452e+01	5.13149e+00	1.48500e+00	1.23986e+00	1.05700e+01	-2.89000e+00	2.77298e+02	0.00000e+00	2.14899e+02	0.00000e+00	3.77000e+02	9.95882e+01	9.95882e+01	4.22528e+02	0.00000e+00	0.00000e+00	3.46988e+02	0.00000e+00	0.00000e+00	1.30302e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
agroforestry	Fri Nov 07 14:59:57 CET 2025	31/12/2000	31	12	2000	366	2	inter	13	2.0000000000000000e+00	2.0000000000000000e+00	baresoil	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05700e+01	-2.89000e+00	3.43509e+02	0.00000e+00	1.03256e+02	0.00000e+00	0.00000e+00	8.33966e+01	8.33966e+01	0.00000e+00	5.35817e+01	0.00000e+00	0.00000e+00	3.29860e+01	0.00000e+00	7.81154e-01	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
agroforestry	Fri Nov 07 14:59:57 CET 2025	31/12/2000	31	12	2000	366	1	main	14	3.0000000000000000e+00	2.0000000000000000e+00	maize	1.48500e+01	2.43114e+00	2.18443e+01	5.13148e+00	1.48500e+00	1.23987e+00	1.05700e+01	-2.89000e+00	2.77302e+02	0.00000e+00	2.14908e+02	0.00000e+00	3.77000e+02	9.95916e+01	9.95916e+01	4.22526e+02	0.00000e+00	0.00000e+00	3.46980e+02	0.00000e+00	0.00000e+00	1.30306e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
agroforestry	Fri Nov 07 14:59:57 CET 2025	31/12/2000	31	12	2000	366	1	main	15	4.0000000000000000e+00	2.0000000000000000e+00	maize	1.48500e+01	2.42875e+00	2.19864e+01	5.08260e+00	1.48500e+00	1.24104e+00	1.05700e+01	-2.89000e+00	2.79187e+02	0.00000e+00	2.10221e+02	0.00000e+00	3.77000e+02	9.91912e+01	9.91912e+01	4.29905e+02	0.00000e+00	0.00000e+00	3.44938e+02	0.00000e+00	0.00000e+00	1.28526e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
agroforestry	Fri Nov 07 14:59:57 CET 2025	31/12/2000	31	12	2000	366	1	main	16	0.0000000000000000e+00	1.0000000000000000e+00	maize	1.48500e+01	2.42870e+00	2.19997e+01	5.08159e+00	1.48500e+00	1.24108e+00	1.05700e+01	-2.89000e+00	2.79659e+02	0.00000e+00	2.10107e+02	0.00000e+00	3.77000e+02	9.91629e+01	9.91629e+01	4.29841e+02	0.00000e+00	0.00000e+00	3.45088e+02	0.00000e+00	0.00000e+00	1.28464e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
agroforestry	Fri Nov 07 14:59:57 CET 2025	31/12/2000	31	12	2000	366	1	main	17	1.0000000000000000e+00	1.0000000000000000e+00	maize	1.48500e+01	2.42879e+00	2.19940e+01	5.08351e+00	1.48500e+00	1.24101e+00	1.05700e+01	-2.89000e+00	2.79106e+02	0.00000e+00	2.10258e+02	0.00000e+00	3.77000e+02	9.91778e+01	9.91778e+01	4.29896e+02	0.00000e+00	0.00000e+00	3.45016e+02	0.00000e+00	0.00000e+00	1.28545e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
agroforestry	Fri Nov 07 14:59:57 CET 2025	31/12/2000	31	12	2000	366	2	inter	18	2.0000000000000000e+00	1.0000000000000000e+00	baresoil	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05700e+01	-2.89000e+00	3.48716e+02	0.00000e+00	1.54095e+02	0.00000e+00	0.00000e+00	8.35600e+01	8.35600e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.33416e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
agroforestry	Fri Nov 07 14:59:57 CET 2025	31/12/2000	31	12	2000	366	1	main	19	3.0000000000000000e+00	1.0000000000000000e+00	maize	1.48500e+01	2.42880e+00	2.19939e+01	5.08355e+00	1.48500e+00	1.24101e+00	1.05700e+01	-2.89000e+00	2.79107e+02	0.00000e+00	2.10259e+02	0.00000e+00	3.77000e+02	9.91783e+01	9.91783e+01	4.29898e+02	0.00000e+00	0.00000e+00	3.45014e+02	0.00000e+00	0.00000e+00	1.28546e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
agroforestry	Fri Nov 07 14:59:57 CET 2025	31/12/2000	31	12	2000	366	1	main	20	4.0000000000000000e+00	1.0000000000000000e+00	maize	1.48500e+01	2.42870e+00	2.19995e+01	5.08162e+00	1.48500e+00	1.24109e+00	1.05700e+01	-2.89000e+00	2.79660e+02	0.00000e+00	2.10108e+02	0.00000e+00	3.77000e+02	9.91634e+01	9.91634e+01	4.29848e+02	0.00000e+00	0.00000e+00	3.45087e+02	0.00000e+00	0.00000e+00	1.28465e+00	0.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	
