#subject	variable	frenchUnity	englishUnity	frenchDescription	englishDescription		
SafeCell	monthRelativeDirectParIncident	%	%	month Relative Direct Par Incident	month Relative Direct Par Incident
SafeCell	monthRelativeDiffuseParIncident	%	%	month Relative Diffuse Par Incident	month Relative Diffuse Par Incident
SafeCell	monthRelativeTotalParIncident	%	%	month Relative Total Par Incident	month Relative Total Par Incident
SafeCell	monthVisibleSky	%	%	month Visible Sky	month Visible Sky
SafeCell	monthYield	t.ha-1	t.ha-1	Rendement mensuel moyen de la culture	month Crop yield		
SafeCell	monthLai	m2.m-2	m2.m-2	month Lai	month Lai		
SafeCell	monthEai	m2.m-2	m2.m-2	month Eai	month Eai
SafeCell	monthBiomass	t.ha-1	 t.ha-1	Biomasse mensuelle moyenne culture	month Crop biomass	
SafeMacroClimat	airVapourPressure	mbar	mbar	Pression de vapeur	Air vapour pressure		
SafeMacroClimat	airVapourPressureSat	mbar	mbar	Pression de vapeur saturante	Air vapour pressure saturated		
SafeMacroClimat	airVpd	mbar	mbar	Deficit de pression de vapeur 	Vapour pressure deficit  of the air 		
SafeMacroClimat	dayLength	h	h	Longueur du jour	Day lenght		
SafeMacroClimat	delta	?	? 	delta	delta		
SafeMacroClimat	diffusePar	Moles m-2	Moles m-2	Rayonnement PAR diffus	Diffuse PAR radiation		
SafeMacroClimat	directPar	Moles m-2	Moles m-2	Rayonnement PAR direct	Direct PAR radiation		
SafeMacroClimat	etpPenman	mm	mm	etpPenman	etpPenman		
SafeMacroClimat	extraTerrestrialRadiation	MJ m-2	MJ m-2	Rayonnement extraterrestre	Extraterrestrial radiation		
SafeMacroClimat	globalPar	Moles m-2	Moles m-2	Rayonnement PAR global	Global PAR radiation		
SafeMacroClimat	globalRadiation	MJ m-2	MJ m-2	Rayonnement global	Global radiation		
SafeMacroClimat	infraRedRadiation	W m-2	W m-2	Rayonnement infra-rouge	Infra-red radiation		
SafeMacroClimat	maxRelativeHumidity	°	°	Humidité relative max	Max relative humidity		
SafeMacroClimat	maxTemperature	°	°	Température max	Max temperature		
SafeMacroClimat	minRelativeHumidity	°	°	Humidité relative min	Min relative humidity		
SafeMacroClimat	minTemperature	°	°	Température min	Min temperature		
SafeMacroClimat	rain	mm	mm	Précipitations	Rain		
SafeMacroClimat	sunDeclination	radian	radian	Inclinaison du soleil	Sun declination		
SafeMacroClimat	waterTableDepth	m	m	Profondeur de la nappe	Water table depth		
SafeMacroClimat	windSpeed	m s-1	m s-1	Vitesse du vent	Wind speed		
SafePlot	waterExtractedInSaturationByCrops	mm	mm	waterExtractedInSaturationByCrops	waterExtractedInSaturationByCrops		
SafePlot	waterExtractedInSaturationByInterCrops	mm	mm	waterExtractedInSaturationByInterCrops	waterExtractedInSaturationByInterCrops		
SafePlot	waterExtractedInSaturationByTrees	mm	mm	waterExtractedInSaturationByTrees	waterExtractedInSaturationByTrees		
SafePlot	nitrogenExtractedInSaturationByTrees	mm	mm	nitrogenExtractedInSaturationByTrees	nitrogenExtractedInSaturationByTrees		
SafePlot	nitrogenExtractedInSaturationByCrops	mm	mm	nitrogenExtractedInSaturationByCrops	nitrogenExtractedInSaturationByCrops		
SafePlot	waterStock	mm	mm	WaterStock	WaterStock		
SafePlot	maximalWaterStock	mm	mm	MaximalWaterStock	MaximalWaterStock		
SafePlot	waterStockAvalaibleForTrees	mm	mm	WaterStockAvalaibleForTrees	WaterStockAvalaibleForTrees		
SafePlot	waterStockAvalaibleForCrops	mm	mm	WaterStockAvalaibleForCrops	WaterStockAvalaibleForCrops		
SafePlot	waterStockAvalaibleForBoth	mm	mm	WaterStockAvalaibleForBoth	WaterStockAvalaibleForBoth		
SafePlot	waterStockInSaturation	mm	mm	WaterStockInSaturation	WaterStockInSaturation		
SafePlot	waterTableDepth	m	m	WaterTableDepth	WaterTableDepth		
SafePlot	waterExtractedByTrees	mm	mm	WaterExtractedByTrees	WaterExtractedByTrees		
SafePlot	waterExtractedByCrops	mm	mm	WaterExtractedByCrops	WaterExtractedByCrops		
SafePlot	waterExtractedByInterCrops	mm	mm	waterExtractedByInterCrops	waterExtractedByInterCrops		
SafePlot	waterEvaporated	mm	mm	WaterEvaporated	WaterEvaporated		
SafePlot	waterFromSaturation	mm	mm	WaterFromSaturation	WaterFromSaturation		
SafePlot	waterToDesaturation	mm	mm	WaterToDesaturation	WaterToDesaturation		
SafePlot	rainTransmitted	mm	mm	RainTransmitted	RainTransmitted		
SafePlot	drainage	mm	mm	Drainage	Drainage		
SafePlot	runOff	mm	mm	RunOff	RunOff		
SafePlot	qngrain	mm	mm	qngrain	qngrain		
SafePlot	qnplante	mm	mm	qnplante	qnplante		
SafePlot	cngrain	mm	mm	cngrain	cngrain		
SafePlot	cnplante	mm	mm	cnplante	cnplante		
SafePlot	surfaceRunOff	mm	mm	surfaceRunOff	surfaceRunOff		
SafePlot	interceptedWater	mm	mm	interceptedWater	interceptedWater		
SafePlot	parInterceptedByTrees	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parInterceptedByTrees	parInterceptedByTrees		
SafePlot	parInterceptedByCrops	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parInterceptedByCrops	parInterceptedByCrops		
SafePlot	parInterceptedByCropsCompetFree	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parInterceptedByCropsCompetFree	parInterceptedByCropsCompetFree		
SafePlot	parInterceptedByTreesCompetFree	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parInterceptedByTreesCompetFree	parInterceptedByTreesCompetFree		
SafePlot	parIncident	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parIncident	parIncident	
SafePlot	parIncidentCrops	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parIncidentCrops	parIncidentCrops
SafePlot	parIncidentInterCrops	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parIncidentInterCrops	parIncidentInterCrops	
SafePlot	cropBiomass	Kg.(m2 of plot)-1	-	cropBiomass	cropBiomass		
SafePlot	minCropBiomass	Kg.(m2 of crop)-1	-	minCropBiomass	minCropBiomass		
SafePlot	maxCropBiomass	Kg.(m2 of crop)-1	-	maxCropBiomass	maxCropBiomass		
SafePlot	cropYield	t/ha	-	cropYield	cropYield		
SafePlot	minCropYield	t/ha	-	minCropYield	minCropYield		
SafePlot	maxCropYield	t/ha	-	maxCropYield	maxCropYield		
SafePlot	cropLai	m2.(m2 of plot)-1	-	cropLai	cropLai		
SafePlot	minCropLai	m2.(m2 of crop)-1	-	minCropLai	minCropLai		
SafePlot	maxCropLai	m2.(m2 of crop)-1	-	maxCropLai	maxCropLai		
SafePlot	cropWaterDemand	mm	mm	cropWaterDemand	cropWaterDemand		
SafePlot	cropWaterDemandReduced	mm	mm	cropWaterDemandReduced	cropWaterDemandReduced		
SafePlot	cropWaterPotential	cm	cm	cropWaterPotential	cropWaterPotential		
SafePlot	cropNitrogenDemand	kg.ha-1	kg.ha-1	cropNitrogenDemand	cropNitrogenDemand		
SafePlot	cropTotalRootLength	m	m	cropTotalRootLength	cropTotalRootLength		
SafePlot	cropSla	-	-	cropSla	cropSla		
SafePlot	cropGrainNumber	-	-	cropGrainNumber	cropGrainNumber		
SafePlot	cropGrainWeight	-	-	cropGrainWeight	cropGrainWeight		
SafePlot	cropPhenologicStage	-	-	cropPhenologicStage	cropPhenologicStage		
SafePlot	cropPlantDensity	-	-	cropPlantDensity	cropPlantDensity		
SafePlot	cropWaterStress	-	-	CropWaterStress	CropWaterStress		
SafePlot	cropSenescenceWaterStress	-	-	CropSenescenceWaterStress	CropSenescenceWaterStress		
SafePlot	cropTurgescenceWaterStress	-	-	CropTurgescenceWaterStress	CropTurgescenceWaterStress		
SafePlot	cropStomatalWaterStress	-	-	CropStomatalWaterStress	CropStomatalWaterStress		
SafePlot	cropTemperature	-	-	cropTemperature	cropTemperature		
SafePlot	cropRootDepth	-	-	cropRootDepth	cropRootDepth		
SafePlot	cropNitrogenLaiStress	-	-	cropNitrogenLaiStress	cropNitrogenLaiStress		
SafePlot	cropNitrogenBiomassStress	-	-	cropNitrogenBiomassStress	cropNitrogenBiomassStress		
SafePlot	cropNitrogenSenescenceStress	-	-	cropNitrogenSenescenceStress	cropNitrogenSenescenceStress		
SafePlot	nitrogenExtractedByCrops	kg/ha	kg/ha	nitrogenExtractedByCrops	nitrogenExtractedByCrops		
SafePlot	nitrogenExtractedByTrees	kg/ha	kg/ha	nitrogenExtractedByTrees	nitrogenExtractedByTrees				
SafePlot	treeLai	-	-	TreeLai	TreeLai		
SafePlot	treePhenologicStage	-	-	treePhenologicStage	TreePhenologicStage		
SafePlot	treeWaterStress	-	-	TreeWaterStress	TreeWaterStress		
SafePlot	treeBiomassIncrement	kg/ha	kg/ha	treeBiomassIncrement	treeBiomassIncrement		
SafePlot	carbonBranches	kg/ha	kg/ha	carbonBranches	carbonBranches		
SafePlot	nitrogenBranches	kg/ha	kg/ha	nitrogenBranches	nitrogenBranches		
SafePlot	treeYield	Kg.(m2 of plot)-1	Kg.(m2 of plot)-1	treeYield	treeYield		
SafePlot	tmax	-	-	Tmax	Tmax		
SafePlot	tmin	-	-	Tmin	Tmin		
SafePlot	nitrogenHumification	kg/ha	kg/ha	nitrogenHumification	nitrogenHumification		
SafePlot	carbonHumification	kg/ha	kg/ha	carbonHumification	carbonHumification		
SafePlot	cMicroorgVariation	kg/ha	kg/ha	cMicroorgVariation	cMicroorgVariation		
SafePlot	nMicroorgVariation	kg/ha	kg/ha	nMicroorgVariation	nMicroorgVariation		
SafePlot	nitrogenRain	kg/ha	kg/ha	nitrogenRain	nitrogenRain		
SafePlot	nitrogenIrrigation	kg/ha	kg/ha	nitrogenIrrigation	nitrogenIrrigation		
SafePlot	nitrogenFertilisation	kg/ha	kg/ha	nitrogenFertilisation	nitrogenFertilisation		
SafePlot	nitrogenFixation	kg/ha	kg/ha	nitrogenFixation	nitrogenFixation		
SafePlot	nitrogenHumusMineralisation	kg/ha	kg/ha	nitrogenHumusMineralisation	nitrogenHumusMineralisation		
SafePlot	qLeafLitter	kg/ha	kg/ha	Biomasse of leaf litter	Biomasse of leaf litter		
SafePlot	nLeafLitter	kg/ha	kg/ha	Nitrogen of leaf litter	Nitrogen of leaf litter		
SafePlot	leafLitterCn	-	-	Leaf litter C/N ratio	Leaf litter C/N ratio		
SafePlot	nminResCult	kg/ha	kg/ha	N mineralized from Crop Residus	N mineralized from Crop Residus		
